0	1	2
0	1	7
1	2	3
1	7	6
1	7	13
2	3	4
2	3	9
3	4	5
3	9	8
3	9	15
4	5	11
5	11	10
5	11	17
6	0	1
7	6	0
7	13	19
7	13	14
8	7	6
8	7	13
8	2	3
9	8	7
9	8	2
9	15	21
9	15	16
10	9	8
10	9	15
10	4	5
11	10	9
11	10	4
11	17	23
12	6	0
12	13	14
12	13	19
13	14	15
13	19	18
13	14	8
13	19	25
14	8	7
14	8	2
14	15	16
14	15	21
15	16	17
15	21	20
15	16	10
15	21	27
16	10	9
16	10	4
16	17	23
17	23	22
17	23	29
18	12	6
18	12	13
19	18	12
19	25	31
19	25	26
20	19	18
20	19	25
20	14	8
20	14	15
21	20	19
21	20	14
21	27	33
21	27	28
22	21	20
22	21	27
22	16	10
22	16	17
23	22	21
23	22	16
23	29	35
24	18	12
24	25	26
24	25	31
25	26	27
25	31	30
25	26	20
26	20	19
26	20	14
26	27	28
26	27	33
27	28	29
27	33	32
27	28	22
28	22	21
28	22	16
28	29	35
29	35	34
30	24	18
30	24	25
31	30	24
32	31	30
32	26	20
32	26	27
33	32	31
33	32	26
34	33	32
34	28	22
34	28	29
35	34	33
35	34	28
